,input_name,repetition,iteration,dataset,patch_option,delta_multiplier,algorithm,embedding_changed,modified_changed
23362,img_2154,1,310,cifar,q2,1.0,simexp,True,False
23450,img_2154,2,180,cifar,q2,1.0,simexp,True,False
23554,img_2154,3,210,cifar,q2,1.0,simexp,True,False
14848,img_2697,1,10,cifar,q2,1.0,simexp,True,False
27070,img_2697,2,20,cifar,all,0.1,simexp,True,False
27171,img_2697,3,20,cifar,all,0.1,simexp,True,False
39107,img_4408,1,200,cifar,all,1.0,simexp,True,False
39211,img_4408,2,230,cifar,all,1.0,simexp,True,False
39307,img_4408,3,180,cifar,all,1.0,simexp,True,False
48320,img_551,2,420,cifar,all,1.0,simexp,True,False
48409,img_551,3,300,cifar,all,1.0,simexp,True,False
41599,img_6071,1,880,cifar,all,1.0,simexp,True,False
41768,img_6071,3,550,cifar,all,1.0,simexp,True,False
42734,img_6845,1,110,cifar,all,1.0,simexp,True,False
42833,img_6845,2,90,cifar,all,1.0,simexp,True,False
42935,img_6845,3,100,cifar,all,1.0,simexp,True,False
20472,img_8907,2,700,cifar,q2,1.0,simexp,True,False
20559,img_8907,3,560,cifar,q2,1.0,simexp,True,False
20908,img_8969,1,10,cifar,q2,1.0,simexp,True,False
21009,img_8969,2,10,cifar,q2,1.0,simexp,True,False
21110,img_8969,3,10,cifar,q2,1.0,simexp,True,False
36070,img_9309,1,130,cifar,all,0.1,simexp,True,False
36171,img_9309,2,130,cifar,all,0.1,simexp,True,False
36272,img_9309,3,130,cifar,all,0.1,simexp,True,False
46981,img_9450,1,160,cifar,all,1.0,simexp,True,False
47090,img_9450,2,240,cifar,all,1.0,simexp,True,False
47192,img_9450,3,250,cifar,all,1.0,simexp,True,False
51823,img_989,1,100,cifar,q2,0.1,simexp,True,False
51924,img_989,2,100,cifar,q2,0.1,simexp,True,False
52025,img_989,3,100,cifar,q2,0.1,simexp,True,False
