dataset,algorithm,patch_option,delta_multiplier,mean_decoding_difference,median_decoding_difference
cifar,simec,all,1.0,0.0,0.0
cifar,simec,all,10.0,0.003,0.003
cifar,simec,one,1.0,0.0,0.0
cifar,simec,one,10.0,0.0,0.0
cifar,simec,q2,1.0,0.0,0.0
cifar,simec,q2,10.0,0.008,0.008
cifar,simexp,all,1.0,0.047,0.047
cifar,simexp,all,10.0,0.166,0.097
cifar,simexp,one,1.0,0.005,0.005
cifar,simexp,one,10.0,0.092,0.105
cifar,simexp,q2,1.0,0.016,0.017
cifar,simexp,q2,10.0,0.203,0.216
hatespeech,simec,all,1.0,0.003,0.004
hatespeech,simec,all,10.0,0.012,0.013
hatespeech,simec,one,1.0,0.0,0.0
hatespeech,simec,one,10.0,0.0,0.0
hatespeech,simec,q2,1.0,0.0,0.0
hatespeech,simec,q2,10.0,0.001,0.001
hatespeech,simexp,all,1.0,0.525,0.545
hatespeech,simexp,all,10.0,0.795,0.793
hatespeech,simexp,one,1.0,0.037,0.034
hatespeech,simexp,one,10.0,0.258,0.322
hatespeech,simexp,q2,1.0,0.288,0.308
hatespeech,simexp,q2,10.0,0.82,0.809
mnist,simec,all,1.0,0.0,0.0
mnist,simec,all,10.0,0.002,0.001
mnist,simec,one,1.0,0.0,0.0
mnist,simec,one,10.0,0.0,0.0
mnist,simec,q2,1.0,0.0,0.0
mnist,simec,q2,10.0,0.004,0.003
mnist,simexp,all,1.0,0.009,0.011
mnist,simexp,all,10.0,0.062,0.055
mnist,simexp,one,1.0,0.002,0.002
mnist,simexp,one,10.0,0.026,0.023
mnist,simexp,q2,1.0,0.006,0.008
mnist,simexp,q2,10.0,0.041,0.027
winobias,simec,target-word,1.0,0.0,0.0
winobias,simec,target-word,10.0,0.001,0.001
winobias,simexp,target-word,1.0,0.027,0.028
winobias,simexp,target-word,10.0,0.244,0.204
