dataset,algorithm,patch_option,delta_multiplier,mean_difference,median_difference,std_difference
cifar,simec,all,1.0,0.0001,0.0001,0.0
cifar,simec,all,10.0,0.0009,0.0009,0.0003
cifar,simec,one,1.0,,,
cifar,simec,one,10.0,,,
cifar,simec,q2,1.0,0.0001,0.0001,0.0
cifar,simec,q2,10.0,0.0009,0.0008,0.0003
cifar,simexp,all,1.0,0.0004,0.0003,0.0001
cifar,simexp,all,10.0,0.0031,0.003,0.0006
cifar,simexp,one,1.0,,,
cifar,simexp,one,10.0,,,
cifar,simexp,q2,1.0,0.0003,0.0003,0.0001
cifar,simexp,q2,10.0,0.0027,0.0026,0.0005
hatespeech,simec,all,1.0,0.0074,0.0,0.0228
hatespeech,simec,all,10.0,0.0392,0.0,0.0557
hatespeech,simec,one,1.0,0.0,0.0,0.0
hatespeech,simec,one,10.0,0.001,0.0,0.0088
hatespeech,simec,q2,1.0,0.0141,0.0,0.0324
hatespeech,simec,q2,10.0,0.0156,0.0,0.0341
hatespeech,simexp,all,1.0,0.4595,0.3846,0.2862
hatespeech,simexp,all,10.0,6.6579,6.4615,2.8916
hatespeech,simexp,one,1.0,0.0,0.0,0.0
hatespeech,simexp,one,10.0,0.0,0.0,0.0
hatespeech,simexp,q2,1.0,0.0308,0.0,0.0462
hatespeech,simexp,q2,10.0,0.8795,0.6923,0.7035
mnist,simec,all,1.0,0.0006,0.0006,0.0001
mnist,simec,all,10.0,0.0055,0.0055,0.001
mnist,simec,one,1.0,0.0,0.0,0.0
mnist,simec,one,10.0,0.0003,0.0003,0.0002
mnist,simec,q2,1.0,0.0004,0.0004,0.0001
mnist,simec,q2,10.0,0.0043,0.0041,0.001
mnist,simexp,all,1.0,0.0009,0.0009,0.0001
mnist,simexp,all,10.0,0.0062,0.0061,0.001
mnist,simexp,one,1.0,0.0001,0.0,0.0
mnist,simexp,one,10.0,0.0005,0.0005,0.0003
mnist,simexp,q2,1.0,0.0007,0.0007,0.0001
mnist,simexp,q2,10.0,0.0051,0.005,0.0011
winobias,simec,target-word,1.0,0.0,0.0,0.0
winobias,simec,target-word,10.0,0.0,0.0,0.0
winobias,simexp,target-word,1.0,0.0,0.0,0.0
winobias,simexp,target-word,10.0,0.0,0.0,0.0
